ㄅㄚ,ba,八
ㄊㄨㄟˊ,tueí,頹
ㄊㄨㄟˇ,tueǐ,腿
ㄊㄨㄟˋ,tueì,退
ㄊㄨㄟ˙,,
ㄊㄨㄢ,tuan,湍
ㄊㄨㄢˊ,tuán,團
ㄊㄨㄢˇ,tuán,畽
ㄊㄨㄢˋ,tuàn,彖
ㄊㄨㄢ˙,,　
ㄊㄨㄣ,tun,吞
ㄊㄨㄣˊ,tún,屯
ㄊㄨㄣˇ,tǔn,吨
ㄊㄨㄣˋ,tùn,褪
ㄊㄨㄣ˙,,　
ㄊㄨㄥ,tong,通
ㄊㄨㄥˊ,tóng,同
ㄊㄨㄥˇ,tǒng,統
ㄊㄨㄥˋ,tòng,痛
ㄊㄨㄥ˙,,
(ㄊㄨㄧ),tui,推
(ㄊㄨㄧˊ),tuí,頹
(ㄊㄨㄧˇ),tuǐ,腿
(ㄊㄨㄧˋ),tuì,退
(ㄊㄨㄧ˙),,
ㄋㄚ,na,哪
ㄋㄚˊ,ná,拿
ㄋㄚˇ,nǎ,那
ㄋㄚˋ,nà,納
ㄋㄚ˙,nạ,哪
ㄋㄜ,ne,呢
ㄋㄜˊ,,　
ㄋㄜˇ,,　
ㄋㄜˋ,nè,訥
ㄋㄜ˙,nẹ,呢
ㄋㄞ,,
ㄋㄞˊ,naí,孻
ㄋㄞˇ,naǐ,乃
ㄋㄞˋ,naì,奈
ㄋㄞ˙,naị,奶
ㄋㄟ,,　
ㄋㄟˊ,,
ㄋㄟˇ,neǐ,餒
ㄋㄟˋ,neì,內
ㄋㄟ˙,,　
ㄋㄠ,nao,孬
ㄋㄠˊ,naó,撓
ㄋㄠˇ,naǒ,腦
ㄋㄠˋ,naò,鬧
ㄋㄠ˙,,　
ㄋㄡ,,
ㄋㄡˊ,noú,譨
ㄋㄡˇ,noǔ,啂
ㄋㄡˋ,noù,耨
ㄋㄡ˙,,　
ㄋㄢ,nan,囝
ㄋㄢˊ,nán,南
ㄋㄢˇ,nǎn,腩
